session_id,session_duration_sec,pages_viewed,bounce,device_type,traffic_source,is_new_visitor,avg_time_per_page_sec,purchase
1,120,5,0,desktop,organic,1,24.0,0
2,340,12,0,mobile,paid,0,28.33,1
3,45,1,1,mobile,social,1,,0
4,890,22,0,desktop,direct,0,40.45,1
5,67,2,0,tablet,email,1,33.5,0
6,234,8,0,mobile,organic,0,29.25,0
7,456,15,0,desktop,paid,1,30.4,1
8,23,1,1,desktop,social,1,,0
9,567,18,0,desktop,direct,0,31.5,1
10,89,3,0,mobile,organic,1,29.67,0
11,678,20,0,desktop,paid,0,33.9,1
12,34,1,1,mobile,paid,1,,0
13,445,14,0,tablet,direct,1,31.79,1
14,123,4,0,mobile,social,0,30.75,0
15,789,24,0,desktop,organic,0,32.88,1
16,56,2,1,tablet,email,1,28.0,0
17,334,11,0,mobile,paid,0,30.36,0
18,501,16,0,desktop,direct,1,31.31,1
19,78,3,0,desktop,organic,1,26.0,0
20,612,19,0,mobile,paid,0,32.21,1
21,41,1,1,desktop,social,1,,0
22,278,9,0,tablet,direct,0,30.89,0
23,423,13,0,desktop,email,1,32.54,1
24,95,4,0,mobile,organic,0,23.75,0
25,534,17,0,desktop,paid,0,31.41,1
26,67,2,1,mobile,paid,1,33.5,0
27,389,12,0,tablet,direct,1,32.42,0
28,701,21,0,desktop,organic,0,33.38,1
29,52,1,1,desktop,email,1,,0
30,467,15,0,mobile,direct,0,31.13,1
31,156,6,0,tablet,social,0,26.0,0
32,598,18,0,desktop,paid,1,33.22,1
33,38,1,1,mobile,organic,1,,0
34,412,14,0,mobile,paid,0,29.43,0
35,823,23,0,desktop,direct,0,35.78,1
36,72,3,0,desktop,organic,1,24.0,0
37,345,11,0,tablet,email,0,31.36,0
38,489,16,0,mobile,direct,1,30.56,1
39,98,4,0,mobile,social,0,24.5,0
40,654,20,0,desktop,paid,0,32.7,1
41,29,1,1,tablet,paid,1,,0
42,267,8,0,desktop,organic,1,33.38,0
43,378,13,0,mobile,direct,0,29.08,0
44,712,22,0,desktop,organic,0,32.36,1
45,61,2,1,mobile,direct,1,30.5,0
46,434,14,0,tablet,paid,0,31.0,1
47,84,3,0,desktop,social,1,28.0,0
48,556,17,0,mobile,email,0,32.71,1
49,44,1,1,desktop,organic,1,,0
50,395,12,0,desktop,direct,1,32.92,0
51,621,19,0,mobile,paid,0,32.68,1
52,76,3,0,tablet,organic,0,25.33,0
53,298,10,0,desktop,paid,0,29.8,0
54,478,15,0,mobile,direct,1,31.87,1
55,91,4,0,mobile,social,1,22.75,0
56,689,21,0,desktop,email,0,32.81,1
57,33,1,1,tablet,social,1,,0
58,356,11,0,desktop,organic,0,32.36,0
59,512,16,0,mobile,paid,1,32.0,1
60,102,5,0,desktop,direct,0,20.4,0
61,745,23,0,tablet,organic,0,32.39,1
62,58,2,1,mobile,email,1,29.0,0
63,401,13,0,desktop,paid,0,30.85,0
64,543,17,0,mobile,direct,0,31.94,1
65,79,3,0,desktop,social,1,26.33,0
66,332,10,0,tablet,organic,1,33.2,0
67,596,18,0,desktop,direct,0,33.11,1
68,47,1,1,mobile,paid,1,,0
69,418,14,0,mobile,email,0,29.86,0
70,768,24,0,desktop,organic,0,32.0,1
71,69,2,0,desktop,direct,1,34.5,0
72,289,9,0,tablet,paid,0,32.11,0
73,455,15,0,mobile,organic,1,30.33,1
74,87,4,0,mobile,social,0,21.75,0
75,634,20,0,desktop,paid,0,31.7,1
76,36,1,1,desktop,organic,1,,0
77,367,12,0,tablet,direct,0,30.58,0
78,524,16,0,mobile,paid,1,32.75,1
79,94,4,0,desktop,email,1,23.5,0
80,702,22,0,desktop,organic,0,31.91,1
81,54,2,1,mobile,direct,1,27.0,0
82,384,13,0,desktop,paid,0,29.54,0
83,491,16,0,tablet,direct,1,30.69,1
84,112,5,0,mobile,social,0,22.4,0
85,658,20,0,desktop,email,0,32.9,1
86,42,1,1,tablet,organic,1,,0
87,339,11,0,mobile,paid,0,30.82,0
88,507,17,0,desktop,direct,0,29.82,1
89,73,3,0,desktop,social,1,24.33,0
90,719,21,0,mobile,organic,0,34.24,1
91,50,1,1,mobile,email,1,,0
92,312,10,0,desktop,direct,1,31.2,0
93,462,15,0,tablet,paid,0,30.8,1
94,99,4,0,mobile,organic,0,24.75,0
95,641,19,0,desktop,organic,0,33.74,1
96,63,2,1,desktop,paid,1,31.5,0
97,398,13,0,mobile,direct,0,30.62,0
98,535,17,0,desktop,email,1,31.47,1
99,81,3,0,tablet,social,0,27.0,0
100,681,21,0,mobile,paid,0,32.43,1
